date,price
2007-04-07,21.00388889
2007-04-14,18.75535714
2007-04-21,15.875
2007-04-28,14.5195
2007-05-05,14.42958333
2007-05-12,16.51041667
2007-05-19,16.08068182
2007-05-26,15.54204545
2007-06-02,13.36538462
2007-06-09,13.49375
2007-06-16,12.91666667
2007-06-23,12.76388889
2007-06-30,11.26875
2007-07-07,10.48653846
2007-07-14,9.08125
2007-07-21,8.053571429
2007-07-28,9.867307692
2007-08-04,10.46590909
2007-08-11,9.955357143
2007-08-18,9.704545455
2007-08-25,9.633333333
2007-09-01,11.06484375
2007-09-08,13.44615385
2007-09-15,13.32307692
2007-09-22,12.97142857
2007-09-29,12.20833333
2007-10-06,10.06730769
2007-10-13,11.0140625
2007-10-20,11.1671875
2007-10-27,10.9375
2007-11-03,11
2007-11-10,11.6125
2007-11-17,14.225
2007-11-24,20.04166667
2007-12-01,20.625
2007-12-08,21.20833333
2007-12-15,22.16666667
2007-12-22,22
2007-12-29,20
2008-01-05,18
2008-01-12,17.25
2008-01-19,16.25
2008-01-26,18.5
2008-02-02,17.25
2008-02-09,15.9375
2008-02-16,13.9375
2008-02-23,12
2008-03-01,11.33333333
2008-03-08,11.58333333
2008-03-15,15.125
2008-03-22,22
2008-03-29,17
2008-04-05,13.16666667
2008-04-12,12.625
2008-04-19,12.66666667
2008-04-26,12.5
2008-05-03,12.625
2008-05-10,14.2
2008-05-17,14.05
2008-05-24,15.625
2008-05-31,14.5625
2008-06-07,13.125
2008-06-14,11.7
2008-06-21,11.45
2008-06-28,13.29166667
2008-07-05,12.8125
2008-07-12,13.14166667
2008-07-19,14.60416667
2008-07-26,18.40227273
2008-08-02,14.535
2008-08-09,13.96875
2008-08-16,12.02777778
2008-08-23,11.92857143
2008-08-30,12.84375
2008-09-06,12.95
2008-09-13,13
2008-09-20,13.08928571
2008-09-27,13.33928571
2008-10-04,13.375
2008-10-11,16.8925
2008-10-18,19.13125
2008-10-25,21.38214286
2008-11-01,19.16590909
2008-11-08,19.98125
2008-11-15,20.675
2008-11-22,21.27
2008-11-29,20.52954545
2008-12-06,17.609375
2008-12-13,17.859375
2008-12-20,16.8125
2008-12-27,15.4
2009-01-03,13.5
2009-01-10,14.75
2009-01-17,14.54464286
2009-01-24,15.25
2009-01-31,16.64583333
2009-02-07,17.953125
2009-02-14,19.83333333
2009-02-21,22.64583333
2009-02-28,25.65
2009-03-07,31
2009-03-14,30.8125
2009-03-21,29.875
2009-03-28,29.25
2009-04-04,31.25
2009-04-11,32.25
2009-04-18,27.52083333
2009-04-25,16.89285714
2009-05-02,14.625
2009-05-09,14.91071429
2009-05-16,14.375
2009-05-23,14.39285714
2009-05-30,14.53571429
2009-06-06,17.33928571
2009-06-13,18.30357143
2009-06-20,17.05357143
2009-06-27,13.546875
2009-07-04,14.0625
2009-07-11,16.55357143
2009-07-18,21.47916667
2009-07-25,19.52692308
2009-08-01,18.8
2009-08-08,17.29545455
2009-08-15,14.75714286
2009-08-22,13.85833333
2009-08-29,12.89285714
2009-09-05,13.1525
2009-09-12,13.1025
2009-09-19,12.60384615
2009-09-26,10.9175
2009-10-03,12.11111111
2009-10-10,11.91
2009-10-17,11.64583333
2009-10-24,14.3125
2009-10-31,13.21875
2009-11-07,13.23928571
2009-11-14,14.175
2009-11-21,13.39318182
2009-11-28,12.32142857
2009-12-05,12.24107143
2009-12-12,12.85416667
2009-12-19,11.05
2009-12-26,12.22916667
2010-01-02,13.925
2010-01-09,15.3
2010-01-16,20.4
2010-01-23,24.91666667
2010-01-30,24.375
2010-02-06,24
2010-02-13,25.66666667
2010-02-20,26
2010-02-27,29.25
2010-03-06,30.5
2010-03-13,30.25
2010-03-20,35
2010-03-27,38
2010-04-03,29.25
2010-04-10,23.8125
2010-04-17,26.70833333
2010-04-24,20.42857143
2010-05-01,16.55555556
2010-05-08,14.10416667
2010-05-15,14.51041667
2010-05-22,14.525
2010-05-29,14.14285714
2010-06-05,13.34722222
2010-06-12,10.45833333
2010-06-19,9.475
2010-06-26,9.611111111
2010-07-03,9.986111111
2010-07-10,10.06770833
2010-07-17,9.375
2010-07-24,8.303571429
2010-07-31,8.355263158
2010-08-07,9.723214286
2010-08-14,9.191964286
2010-08-21,10.2
2010-08-28,11.03421053
2010-09-04,12.15833333
2010-09-11,16.03125
2010-09-18,18.74375
2010-09-25,18.07166667
2010-10-02,18.65166667
2010-10-09,20.53269231
2010-10-16,21.01818182
2010-10-23,20.97727273
2010-10-30,18.33333333
2010-11-06,16.5
2010-11-13,17.56944444
2010-11-20,13.125
2010-11-27,12.2875
2010-12-04,17.234375
2010-12-11,18.640625
2010-12-18,20.44642857
2010-12-25,24.425
2011-01-01,24.46875
2011-01-08,35.22
2011-01-15,34.28888889
2011-01-22,32.29375
2011-01-29,32.12875
2011-02-05,29.77571429
2011-02-12,25.36
2011-02-19,26.5225
2011-02-26,26.23
2011-03-05,27.59875
2011-03-12,26.8
2011-03-19,26.195625
2011-03-26,26.9875
2011-04-02,24.39222222
2011-04-09,19.12555556
2011-04-16,16.494375
2011-04-23,16.2478125
2011-04-30,16.03694444
2011-05-07,15.427
2011-05-14,16.3555
2011-05-21,16.089
2011-05-28,16.02863636
2011-06-04,18.48333333
2011-06-11,19.97964286
2011-06-18,18.90883333
2011-06-25,16.95428571
2011-07-02,15
2011-07-09,15.88576923
2011-07-16,17.63722222
2011-07-23,18.78605263
2011-07-30,17.66571429
2011-08-06,15.86833333
2011-08-13,13.85657895
2011-08-20,14.67222222
2011-08-27,15.01277778
2011-09-03,16.2524
2011-09-10,17.66526316
2011-09-17,17.94921875
2011-09-24,15.875
2011-10-01,13.75
2011-10-08,17.47368421
2011-10-15,21.52777778
2011-10-22,20.60714286
2011-10-29,19.03571429
2011-11-05,15.359375
2011-11-12,12.953125
2011-11-19,18.9
2011-11-26,19.125
2011-12-03,19.85833333
2011-12-10,20.33571429
2011-12-17,19.4075
2011-12-24,18.155
2011-12-31,18.075
2012-01-07,17.240625
2012-01-14,17.37142857
2012-01-21,19.271875
2012-01-28,22.24722222
2012-02-04,21.86111111
2012-02-11,16.8775
2012-02-18,15.22777778
2012-02-25,19.58541667
2012-03-03,20.27142857
2012-03-10,17.403125
2012-03-17,16.98333333
2012-03-24,21.22142857
2012-03-31,21.2425
2012-04-07,17.45833333
2012-04-14,15.3675
2012-04-21,14.728125
2012-04-28,15.69444444
2012-05-05,15.1225
2012-05-12,15.36111111
2012-05-19,15.6375
2012-05-26,16.79166667
2012-06-02,16.9
2012-06-09,15.13173077
2012-06-16,17.55113636
2012-06-23,18.09821429
2012-06-30,18.33653846
2012-07-07,16.66666667
2012-07-14,13.90441176
2012-07-21,12.28645833
2012-07-28,11.1423913
2012-08-04,11.45
2012-08-11,12.6484375
2012-08-18,16.06333333
2012-08-25,15.15263158
2012-09-01,14.8671875
2012-09-08,12.88055556
2012-09-15,11.34761905
2012-09-22,11.01805556
2012-09-29,11.92083333
2012-10-06,14.0275
2012-10-13,16.3875
2012-10-20,17.5625
2012-10-27,15.43055556
2012-11-03,14.98
2012-11-10,14.02222222
2012-11-17,14.60277778
2012-11-24,14.72045455
2012-12-01,15.30568182
2012-12-08,16.3578125
2012-12-15,17.85
2012-12-22,18.62954545
2012-12-29,18.00113636
2013-01-05,18.49642857
2013-01-12,17.171875
2013-01-19,17.07916667
2013-01-26,17.1375
2013-02-02,16.6
2013-02-09,18.05833333
2013-02-16,19.76666667
2013-02-23,21.95416667
2013-03-02,20.33571429
2013-03-09,18.175
2013-03-16,18.07142857
2013-03-23,20.975
2013-03-30,20.03125
2013-04-06,17.875
2013-04-13,15.93333333
2013-04-20,17.99545455
2013-04-27,16.9125
2013-05-04,16.85277778
